"['Louisiana', 'edit]\n']","['Grambling ', 'Grambling State University)[5]\n']"
"['Louisiana', 'edit]\n']","['Hammond ', 'Southeastern Louisiana University)[2]\n']"
"['Louisiana', 'edit]\n']","['Lafayette ', 'University of Louisiana at Lafayette)\n']"
"['Louisiana', 'edit]\n']","['Monroe ', 'University of Louisiana at Monroe)[2]\n']"
"['Louisiana', 'edit]\n']","['Natchitoches ', 'Northwestern State University)[2]\n']"
"['Louisiana', 'edit]\n']","['Ruston ', 'Louisiana Tech University)[2]\n']"
"['Louisiana', 'edit]\n']","['Thibodaux ', 'Nicholls State University)[2]\n']"
"['Maine', 'edit]\n']","['Augusta ', 'University of Maine at Augusta)[2]\n']"
"['Maine', 'edit]\n']","['Bar Harbor ', 'College of the Atlantic)\n']"
"['Maine', 'edit]\n']","['Brunswick ', 'Bowdoin College)\n']"
"['Maine', 'edit]\n']","['Farmington ', 'University of Maine at Farmington)[2]\n']"
"['Maine', 'edit]\n']","['Fort Kent ', 'University of Maine at Fort Kent)\n']"
"['Maine', 'edit]\n']","['Gorham ', 'University of Southern Maine)[2]\n']"
"['Maine', 'edit]\n']","['Lewiston, Maine ', 'Bates College)\n']"
"['Maine', 'edit]\n']","['Orono ', 'University of Maine)[2]\n']"
"['Maine', 'edit]\n']","['Waterville ', 'Thomas College, Colby College)\n']"
"['Maryland', 'edit]\n']","['Annapolis ', ""United States Naval Academy, St. John's College)\n""]"
"['Maryland', 'edit]\n']","['Chestertown ', 'Washington College)[2]\n']"
"['Maryland', 'edit]\n']","['College Park ', 'University of Maryland, College Park)[16]\n']"
"['Maryland', 'edit]\n']","['Cumberland ', 'Allegany College of Maryland)\n']"
"['Maryland', 'edit]\n']","['Emmitsburg ', ""Mount St. Mary's University)[2]\n""]"
"['Maryland', 'edit]\n']","['Frostburg ', 'Frostburg State University)[5]\n']"
"['Maryland', 'edit]\n']","['Princess Anne ', 'University of Maryland Eastern Shore)[5]\n']"
"['Maryland', 'edit]\n']","['Towson ', 'Towson University, Goucher College)[2]\n']"
"['Maryland', 'edit]\n']","['Salisbury ', 'Salisbury University)[2]\n']"
"['Maryland', 'edit]\n']","['Westminster ', 'McDaniel College)\n']"
"['Massachusetts', 'edit]\n']","['Boston ', 'Boston University, Boston College, Boston Conservatory, New England Conservatory, Brandeis University, Northeastern University, UMass Boston, Emmanuel College, Bunker Hill Community College, Roxbury Community College, Suffolk University, Simmons College, among many others)\n']"
"['Massachusetts', 'edit]\n']","['Bridgewater ', 'Bridgewater State College)[2]\n']"
"['Massachusetts', 'edit]\n']","['Cambridge ', 'Harvard University, Massachusetts Institute of Technology)', 'Lesley University, Cambridge College, Longy School of Music)[15]\n']"
"['Massachusetts', 'edit]\n']","['Chestnut Hill ', 'Boston College)\n']"
"['Massachusetts', 'edit]\n']","['Dudley ', 'Nichols College)\n']"
"['Massachusetts', 'edit]\n']","['North Grafton ', 'Cummings School of Veterinary Medicine at Tufts University)\n']"
"['Massachusetts', 'edit]\n']","['Paxton ', 'Anna Maria College)\n']"
"['Massachusetts', 'edit]\n']","['Worcester ', 'Assumption, Becker, Clark University, Holy Cross, Mass. College of Pharmacy & Health Sciences, Quinsigamond Community College, UMass Medical School, Worcester State University, Worcester Polytechnic Institute)\n']"
"['Massachusetts', 'edit]\n']","['Amherst ', 'Amherst College, Hampshire College, University of Massachusetts Amherst)[15]\n']"
"['Massachusetts', 'edit]\n']","['Northampton ', 'Smith College)\n']"
